request_date	platform	proid	uv	pv	content_name	
2018-12-07	wechat	1363946bc58099437968c55aca064c6d	2	2	【特惠】带皮运动鞋/磨砂翻毛鞋清洗	
2018-12-07	app	5353549b7615962771f152d3abb168de	3	3	抽油烟机一次上门清洗服务（免拆）+1年核心部件（电机）保修服务	
2018-12-07	app	75404bc24cd474eda9b74506177e9e8f	2	3	热水器一次上门清洗服务+1年核心部件（内胆）保修服务	
2018-12-07	app	5d9b4f30dde31a4a3d7f0c29baeb5b7c	35	79	计时保洁仅限周一到周五使用（3小时）	
2018-12-07	app	43f75f30bac87d6def9de302d674391e	16	28	【特惠】羽绒服/棉服（短清洗）	
2018-12-07	wechat	1f916d2ace5de76f81b25147ddb08983	3	6	【特惠】羽绒服/棉服（长）清洗	
2018-12-07	app	4cc2a42333c97f5bb7057932d62597e8	13	22	碧然德滤水壶多效滤芯6枚装	
2018-12-07	wechat	43f75f30bac87d6def9de302d674391e	1	2	【特惠】羽绒服/棉服（短清洗）	
2018-12-07	app	64df078f44107a73ec58443bc70d3cfc	16	17	碧然德滤水壶金典系列3.5L（蓝）	
2018-12-07	wechat	ccc7387d81b5f340c60569297abd7b49	1	1	【特惠】布面运动鞋/帆布鞋/光面皮鞋清洗	
2018-12-07	app	ccc7387d81b5f340c60569297abd7b49	10	12	【特惠】布面运动鞋/帆布鞋/光面皮鞋清洗	
2018-12-07	app	1363946bc58099437968c55aca064c6d	11	26	【特惠】带皮运动鞋/磨砂翻毛鞋清洗	
2018-12-07	app	1f916d2ace5de76f81b25147ddb08983	15	23	【特惠】羽绒服/棉服（长）清洗	
2018-12-08	wechat	5d9b4f30dde31a4a3d7f0c29baeb5b7c	1	2	计时保洁仅限周一到周五使用（3小时）	
2018-12-08	wechat	1363946bc58099437968c55aca064c6d	3	3	【特惠】带皮运动鞋/磨砂翻毛鞋清洗	
2018-12-08	wechat	1f916d2ace5de76f81b25147ddb08983	1	2	【特惠】羽绒服/棉服（长）清洗	
2018-12-08	app	5d9b4f30dde31a4a3d7f0c29baeb5b7c	29	56	计时保洁仅限周一到周五使用（3小时）	
2018-12-08	app	1363946bc58099437968c55aca064c6d	10	18	【特惠】带皮运动鞋/磨砂翻毛鞋清洗	
2018-12-08	app	4cc2a42333c97f5bb7057932d62597e8	8	10	碧然德滤水壶多效滤芯6枚装	
2018-12-08	app	1f916d2ace5de76f81b25147ddb08983	27	54	【特惠】羽绒服/棉服（长）清洗	
2018-12-08	app	64df078f44107a73ec58443bc70d3cfc	6	7	碧然德滤水壶金典系列3.5L（蓝）	
2018-12-08	wechat	43f75f30bac87d6def9de302d674391e	1	1	【特惠】羽绒服/棉服（短清洗）	
2018-12-08	app	ccc7387d81b5f340c60569297abd7b49	18	30	【特惠】布面运动鞋/帆布鞋/光面皮鞋清洗	
2018-12-08	app	75404bc24cd474eda9b74506177e9e8f	2	2	热水器一次上门清洗服务+1年核心部件（内胆）保修服务	
2018-12-08	app	43f75f30bac87d6def9de302d674391e	25	44	【特惠】羽绒服/棉服（短清洗）	
2018-12-08	wechat	4cc2a42333c97f5bb7057932d62597e8	1	1	碧然德滤水壶多效滤芯6枚装	
2018-12-08	app	5353549b7615962771f152d3abb168de	1	1	抽油烟机一次上门清洗服务（免拆）+1年核心部件（电机）保修服务	
2018-12-09	app	4cc2a42333c97f5bb7057932d62597e8	10	14	碧然德滤水壶多效滤芯6枚装	
2018-12-09	wechat	ccc7387d81b5f340c60569297abd7b49	1	1	【特惠】布面运动鞋/帆布鞋/光面皮鞋清洗	
2018-12-09	wechat	1363946bc58099437968c55aca064c6d	1	1	【特惠】带皮运动鞋/磨砂翻毛鞋清洗	
2018-12-09	wechat	5d9b4f30dde31a4a3d7f0c29baeb5b7c	2	5	计时保洁仅限周一到周五使用（3小时）	
2018-12-09	app	1363946bc58099437968c55aca064c6d	23	35	【特惠】带皮运动鞋/磨砂翻毛鞋清洗	
2018-12-09	app	ccc7387d81b5f340c60569297abd7b49	21	32	【特惠】布面运动鞋/帆布鞋/光面皮鞋清洗	
2018-12-09	app	43f75f30bac87d6def9de302d674391e	15	30	【特惠】羽绒服/棉服（短清洗）	
2018-12-09	app	5353549b7615962771f152d3abb168de	3	5	抽油烟机一次上门清洗服务（免拆）+1年核心部件（电机）保修服务	
2018-12-09	app	5d9b4f30dde31a4a3d7f0c29baeb5b7c	32	63	计时保洁仅限周一到周五使用（3小时）	
2018-12-09	app	1f916d2ace5de76f81b25147ddb08983	28	47	【特惠】羽绒服/棉服（长）清洗	
2018-12-09	wechat	1f916d2ace5de76f81b25147ddb08983	1	1	【特惠】羽绒服/棉服（长）清洗	
2018-12-09	app	64df078f44107a73ec58443bc70d3cfc	10	12	碧然德滤水壶金典系列3.5L（蓝）	
2018-12-10	wechat	5d9b4f30dde31a4a3d7f0c29baeb5b7c	2	2	计时保洁仅限周一到周五使用（3小时）	
2018-12-10	wechat	43f75f30bac87d6def9de302d674391e	1	1	【特惠】羽绒服/棉服（短清洗）	
2018-12-10	wechat	75404bc24cd474eda9b74506177e9e8f	1	1	热水器一次上门清洗服务+1年核心部件（内胆）保修服务	
2018-12-10	app	5353549b7615962771f152d3abb168de	1	1	抽油烟机一次上门清洗服务（免拆）+1年核心部件（电机）保修服务	
2018-12-10	app	75404bc24cd474eda9b74506177e9e8f	1	1	热水器一次上门清洗服务+1年核心部件（内胆）保修服务	
2018-12-10	app	64df078f44107a73ec58443bc70d3cfc	10	12	碧然德滤水壶金典系列3.5L（蓝）	
2018-12-10	app	4cc2a42333c97f5bb7057932d62597e8	19	26	碧然德滤水壶多效滤芯6枚装	
2018-12-10	wechat	1363946bc58099437968c55aca064c6d	1	2	【特惠】带皮运动鞋/磨砂翻毛鞋清洗	
2018-12-10	wechat	1f916d2ace5de76f81b25147ddb08983	1	1	【特惠】羽绒服/棉服（长）清洗	
2018-12-10	app	5d9b4f30dde31a4a3d7f0c29baeb5b7c	23	43	计时保洁仅限周一到周五使用（3小时）	
2018-12-10	app	ccc7387d81b5f340c60569297abd7b49	9	20	【特惠】布面运动鞋/帆布鞋/光面皮鞋清洗	
2018-12-10	app	1f916d2ace5de76f81b25147ddb08983	16	25	【特惠】羽绒服/棉服（长）清洗	
2018-12-10	wechat	64df078f44107a73ec58443bc70d3cfc	1	1	碧然德滤水壶金典系列3.5L（蓝）	
2018-12-10	app	1363946bc58099437968c55aca064c6d	18	39	【特惠】带皮运动鞋/磨砂翻毛鞋清洗	
2018-12-10	app	43f75f30bac87d6def9de302d674391e	14	23	【特惠】羽绒服/棉服（短清洗）	
2018-12-10	wechat	5353549b7615962771f152d3abb168de	1	1	抽油烟机一次上门清洗服务（免拆）+1年核心部件（电机）保修服务	
2018-12-11	wechat	5d9b4f30dde31a4a3d7f0c29baeb5b7c	1	2	计时保洁仅限周一到周五使用（3小时）	
2018-12-11	wechat	43f75f30bac87d6def9de302d674391e	2	2	【特惠】羽绒服/棉服（短清洗）	
2018-12-11	app	5d9b4f30dde31a4a3d7f0c29baeb5b7c	30	50	计时保洁仅限周一到周五使用（3小时）	
2018-12-11	app	4cc2a42333c97f5bb7057932d62597e8	15	31	碧然德滤水壶多效滤芯6枚装	
2018-12-11	app	1363946bc58099437968c55aca064c6d	16	26	【特惠】带皮运动鞋/磨砂翻毛鞋清洗	
2018-12-11	app	64df078f44107a73ec58443bc70d3cfc	17	19	碧然德滤水壶金典系列3.5L（蓝）	
2018-12-11	app	43f75f30bac87d6def9de302d674391e	7	10	【特惠】羽绒服/棉服（短清洗）	
2018-12-11	app	75404bc24cd474eda9b74506177e9e8f	3	5	热水器一次上门清洗服务+1年核心部件（内胆）保修服务	
2018-12-11	wechat	1f916d2ace5de76f81b25147ddb08983	1	1	【特惠】羽绒服/棉服（长）清洗	
2018-12-11	app	5353549b7615962771f152d3abb168de	3	4	抽油烟机一次上门清洗服务（免拆）+1年核心部件（电机）保修服务	
2018-12-11	app	ccc7387d81b5f340c60569297abd7b49	12	18	【特惠】布面运动鞋/帆布鞋/光面皮鞋清洗	
2018-12-11	app	1f916d2ace5de76f81b25147ddb08983	14	19	【特惠】羽绒服/棉服（长）清洗	
2018-12-12	app	1363946bc58099437968c55aca064c6d	13	22	【特惠】带皮运动鞋/磨砂翻毛鞋清洗	
2018-12-12	app	75404bc24cd474eda9b74506177e9e8f	4	12	热水器一次上门清洗服务+1年核心部件（内胆）保修服务	
2018-12-12	app	4cc2a42333c97f5bb7057932d62597e8	7	9	碧然德滤水壶多效滤芯6枚装	
2018-12-12	wechat	5d9b4f30dde31a4a3d7f0c29baeb5b7c	2	2	计时保洁仅限周一到周五使用（3小时）	
2018-12-12	app	43f75f30bac87d6def9de302d674391e	22	39	【特惠】羽绒服/棉服（短清洗）	
2018-12-12	app	5353549b7615962771f152d3abb168de	2	3	抽油烟机一次上门清洗服务（免拆）+1年核心部件（电机）保修服务	
2018-12-12	app	ccc7387d81b5f340c60569297abd7b49	18	27	【特惠】布面运动鞋/帆布鞋/光面皮鞋清洗	
2018-12-12	app	1f916d2ace5de76f81b25147ddb08983	29	63	【特惠】羽绒服/棉服（长）清洗	
2018-12-12	wechat	43f75f30bac87d6def9de302d674391e	2	3	【特惠】羽绒服/棉服（短清洗）	
2018-12-12	app	5d9b4f30dde31a4a3d7f0c29baeb5b7c	30	56	计时保洁仅限周一到周五使用（3小时）	
2018-12-12	app	64df078f44107a73ec58443bc70d3cfc	14	15	碧然德滤水壶金典系列3.5L（蓝）	
2018-12-13	app	ccc7387d81b5f340c60569297abd7b49	21	32	【特惠】布面运动鞋/帆布鞋/光面皮鞋清洗	
2018-12-13	app	43f75f30bac87d6def9de302d674391e	14	23	【特惠】羽绒服/棉服（短清洗）	
2018-12-13	app	4cc2a42333c97f5bb7057932d62597e8	3	3	碧然德滤水壶多效滤芯6枚装	
2018-12-13	app	5353549b7615962771f152d3abb168de	4	4	抽油烟机一次上门清洗服务（免拆）+1年核心部件（电机）保修服务	
2018-12-13	app	5d9b4f30dde31a4a3d7f0c29baeb5b7c	47	71	计时保洁仅限周一到周五使用（3小时）	
2018-12-13	app	1363946bc58099437968c55aca064c6d	17	35	【特惠】带皮运动鞋/磨砂翻毛鞋清洗	
2018-12-13	wechat	5d9b4f30dde31a4a3d7f0c29baeb5b7c	1	1	计时保洁仅限周一到周五使用（3小时）	
2018-12-13	app	1f916d2ace5de76f81b25147ddb08983	24	67	【特惠】羽绒服/棉服（长）清洗	
2018-12-13	app	64df078f44107a73ec58443bc70d3cfc	7	10	碧然德滤水壶金典系列3.5L（蓝）	
2018-12-13	wechat	64df078f44107a73ec58443bc70d3cfc	2	3	碧然德滤水壶金典系列3.5L（蓝）	
2018-12-13	app	75404bc24cd474eda9b74506177e9e8f	16	26	热水器一次上门清洗服务+1年核心部件（内胆）保修服务	
2018-12-14	app	64df078f44107a73ec58443bc70d3cfc	13	14	碧然德滤水壶金典系列3.5L（蓝）	
2018-12-14	app	1363946bc58099437968c55aca064c6d	20	31	【特惠】带皮运动鞋/磨砂翻毛鞋清洗	
2018-12-14	wechat	5d9b4f30dde31a4a3d7f0c29baeb5b7c	1	3	计时保洁仅限周一到周五使用（3小时）	
2018-12-14	app	75404bc24cd474eda9b74506177e9e8f	9	14	热水器一次上门清洗服务+1年核心部件（内胆）保修服务	
2018-12-14	app	4cc2a42333c97f5bb7057932d62597e8	11	17	碧然德滤水壶多效滤芯6枚装	
2018-12-14	app	5353549b7615962771f152d3abb168de	8	8	抽油烟机一次上门清洗服务（免拆）+1年核心部件（电机）保修服务	
2018-12-14	app	5d9b4f30dde31a4a3d7f0c29baeb5b7c	49	92	计时保洁仅限周一到周五使用（3小时）	
2018-12-14	app	43f75f30bac87d6def9de302d674391e	25	33	【特惠】羽绒服/棉服（短清洗）	
2018-12-14	app	1f916d2ace5de76f81b25147ddb08983	28	44	【特惠】羽绒服/棉服（长）清洗	
2018-12-14	app	ccc7387d81b5f340c60569297abd7b49	12	26	【特惠】布面运动鞋/帆布鞋/光面皮鞋清洗	
2018-12-15	app	64df078f44107a73ec58443bc70d3cfc	8	9	碧然德滤水壶金典系列3.5L（蓝）	
2018-12-15	app	75404bc24cd474eda9b74506177e9e8f	2	5	热水器一次上门清洗服务+1年核心部件（内胆）保修服务	
2018-12-15	app	1f916d2ace5de76f81b25147ddb08983	30	58	【特惠】羽绒服/棉服（长）清洗	
2018-12-15	wechat	43f75f30bac87d6def9de302d674391e	2	3	【特惠】羽绒服/棉服（短清洗）	
2018-12-15	app	4cc2a42333c97f5bb7057932d62597e8	9	9	碧然德滤水壶多效滤芯6枚装	
2018-12-15	wechat	1f916d2ace5de76f81b25147ddb08983	3	4	【特惠】羽绒服/棉服（长）清洗	
2018-12-15	wechat	4cc2a42333c97f5bb7057932d62597e8	1	1	碧然德滤水壶多效滤芯6枚装	
2018-12-15	app	ccc7387d81b5f340c60569297abd7b49	12	17	【特惠】布面运动鞋/帆布鞋/光面皮鞋清洗	
2018-12-15	wechat	5d9b4f30dde31a4a3d7f0c29baeb5b7c	1	1	计时保洁仅限周一到周五使用（3小时）	
2018-12-15	app	1363946bc58099437968c55aca064c6d	18	24	【特惠】带皮运动鞋/磨砂翻毛鞋清洗	
2018-12-15	app	5d9b4f30dde31a4a3d7f0c29baeb5b7c	26	42	计时保洁仅限周一到周五使用（3小时）	
2018-12-15	app	43f75f30bac87d6def9de302d674391e	18	27	【特惠】羽绒服/棉服（短清洗）	
2018-12-15	wechat	ccc7387d81b5f340c60569297abd7b49	1	1	【特惠】布面运动鞋/帆布鞋/光面皮鞋清洗	
2018-12-16	app	43f75f30bac87d6def9de302d674391e	22	38	【特惠】羽绒服/棉服（短清洗）	
2018-12-16	app	4cc2a42333c97f5bb7057932d62597e8	5	7	碧然德滤水壶多效滤芯6枚装	
2018-12-16	wechat	ccc7387d81b5f340c60569297abd7b49	1	1	【特惠】布面运动鞋/帆布鞋/光面皮鞋清洗	
2018-12-16	app	75404bc24cd474eda9b74506177e9e8f	5	8	热水器一次上门清洗服务+1年核心部件（内胆）保修服务	
2018-12-16	wechat	43f75f30bac87d6def9de302d674391e	1	1	【特惠】羽绒服/棉服（短清洗）	
2018-12-16	app	5d9b4f30dde31a4a3d7f0c29baeb5b7c	25	40	计时保洁仅限周一到周五使用（3小时）	
2018-12-16	app	1363946bc58099437968c55aca064c6d	18	35	【特惠】带皮运动鞋/磨砂翻毛鞋清洗	
2018-12-16	wechat	1f916d2ace5de76f81b25147ddb08983	3	5	【特惠】羽绒服/棉服（长）清洗	
2018-12-16	app	1f916d2ace5de76f81b25147ddb08983	31	55	【特惠】羽绒服/棉服（长）清洗	
2018-12-16	app	64df078f44107a73ec58443bc70d3cfc	5	5	碧然德滤水壶金典系列3.5L（蓝）	
2018-12-16	app	ccc7387d81b5f340c60569297abd7b49	21	29	【特惠】布面运动鞋/帆布鞋/光面皮鞋清洗	
2018-12-16	app	5353549b7615962771f152d3abb168de	2	2	抽油烟机一次上门清洗服务（免拆）+1年核心部件（电机）保修服务	
2018-12-16	wechat	1363946bc58099437968c55aca064c6d	5	6	【特惠】带皮运动鞋/磨砂翻毛鞋清洗	
2018-12-16	wechat	5d9b4f30dde31a4a3d7f0c29baeb5b7c	1	1	计时保洁仅限周一到周五使用（3小时）	
2018-12-17	wechat	43f75f30bac87d6def9de302d674391e	4	9	【特惠】羽绒服/棉服（短清洗）	
2018-12-17	wechat	1f916d2ace5de76f81b25147ddb08983	1	1	【特惠】羽绒服/棉服（长）清洗	
2018-12-17	app	64df078f44107a73ec58443bc70d3cfc	6	6	碧然德滤水壶金典系列3.5L（蓝）	
2018-12-17	app	ccc7387d81b5f340c60569297abd7b49	18	35	【特惠】布面运动鞋/帆布鞋/光面皮鞋清洗	
2018-12-17	app	1363946bc58099437968c55aca064c6d	11	23	【特惠】带皮运动鞋/磨砂翻毛鞋清洗	
2018-12-17	wechat	1363946bc58099437968c55aca064c6d	3	4	【特惠】带皮运动鞋/磨砂翻毛鞋清洗	
2018-12-17	app	43f75f30bac87d6def9de302d674391e	25	40	【特惠】羽绒服/棉服（短清洗）	
2018-12-17	app	75404bc24cd474eda9b74506177e9e8f	3	6	热水器一次上门清洗服务+1年核心部件（内胆）保修服务	
2018-12-17	app	1f916d2ace5de76f81b25147ddb08983	33	67	【特惠】羽绒服/棉服（长）清洗	
2018-12-17	app	4cc2a42333c97f5bb7057932d62597e8	3	3	碧然德滤水壶多效滤芯6枚装	
2018-12-17	app	5353549b7615962771f152d3abb168de	5	6	抽油烟机一次上门清洗服务（免拆）+1年核心部件（电机）保修服务	
2018-12-17	app	5d9b4f30dde31a4a3d7f0c29baeb5b7c	27	52	计时保洁仅限周一到周五使用（3小时）	
2018-12-17	wechat	ccc7387d81b5f340c60569297abd7b49	4	5	【特惠】布面运动鞋/帆布鞋/光面皮鞋清洗	
